,AUS,CHN,DEU,FRA,USA
unknown Peptostreptococcaceae [meta_mOTU_v2_5742],0.7994833334052612,1.0531802810780557,0.8311983517122902,1.111213155701041,0.34060126428482446
Fusobacterium sp. oral taxon 370 [ref_mOTU_v2_1403],1.4866272342156146,1.6196910728200071,1.4514771257914563,1.6563286561005264,0.6271060346771941
Fusobacterium nucleatum s. nucleatum [ref_mOTU_v2_0777],2.2005990045617567,2.1394652696409575,2.0432483779644746,2.051806585679223,0.9916417125239764
Porphyromonas asaccharolytica [ref_mOTU_v2_1517],2.7636895792948355,2.5918519368359445,2.3864402242281866,2.1336725380751598,1.3437479903046587
unknown Porphyromonas [meta_mOTU_v2_7656],2.941486809161453,2.608829202695811,2.2929756618118353,1.8975593266044437,1.455974676603149
unknown Porphyromonas [meta_mOTU_v2_5431],2.6005269029982574,1.862647186996284,1.5746329729549668,1.279245340434544,1.1203115347336032
unknown Porphyromonas [meta_mOTU_v2_6490],2.0553350871034066,0.9917455867985917,0.8310206652318685,0.7431823397270861,0.6683538114010962
Clostridiales bacterium VE202-09 [ref_mOTU_v2_2688],1.53958645794328,0.28637803567331305,0.29696690350140553,0.3773080598136756,0.3234469628947442
Tyzzerella nexilis [ref_mOTU_v2_4366],1.1509978558534617,-0.08099953833284824,0.017808024263456852,0.15528134266526786,0.15382610683600242
Ruminococcus gnavus [ref_mOTU_v2_0280],0.7653800647140847,-0.22928280823951908,-0.11559410163263208,-0.0338312294396605,0.03774179901618887
Erysipelotrichaceae sp. [ref_mOTU_v2_0885],0.44685596807815503,-0.2591828247437635,-0.17681103083302874,-0.1445164487288871,-0.05039341116512847
unknown Clostridiales [meta_mOTU_v2_7735],0.23275178184639067,-0.23081152414190828,-0.2109765740667312,-0.19687610378478362,-0.15740801681163638
Coprococcus sp. [ref_mOTU_v2_0303],0.11430337447241747,-0.20383747834300409,-0.22709710038958983,-0.2274472130636443,-0.2367116743371548
unknown Firmicutes [meta_mOTU_v2_6237],-0.0016979099774385364,-0.20085640854079587,-0.23892709830189132,-0.2643596979115698,-0.29706681115011263
Blautia hansenii [ref_mOTU_v2_1428],-0.10204749710872497,-0.20744805385120504,-0.24741853099173328,-0.2821348819714448,-0.3381166226086813
unknown Clostridiales [meta_mOTU_v2_7359],-0.14551627885984322,-0.22270637077701572,-0.25296964507414693,-0.28085234881348614,-0.34255493539466514
unknown Clostridium [meta_mOTU_v2_7389],-0.15596723321997683,-0.24515580615603907,-0.2553004330102592,-0.2763525296813968,-0.30666567370011794
unknown Clostridiales [meta_mOTU_v2_6647],-0.20200131014140776,-0.2703492257068832,-0.25633131044218066,-0.28802688686197464,-0.2965905553336149
unknown Clostridiales [meta_mOTU_v2_5641],-0.24641772860498834,-0.28810931466756795,-0.25511938546759033,-0.295221643370179,-0.3252754455237287
unknown Clostridium [meta_mOTU_v2_5353],-0.2503115691538478,-0.2927820118490754,-0.2520506270187908,-0.29160670674085537,-0.3465076078116692
unknown Clostridiales [meta_mOTU_v2_6281],-0.23913593484362713,-0.2897831471405824,-0.24956150937898752,-0.28466563417870033,-0.3404260509060907
Collinsella intestinalis [ref_mOTU_v2_4400],-0.25756879234384034,-0.28996409558742037,-0.25099236760005206,-0.28523452487402406,-0.35595192487076593
unknown Fusobacterium [meta_mOTU_v2_7372],-0.24457010529374107,-0.2985840263065224,-0.25380769025814365,-0.2768606253920763,-0.3616991292307498
unknown Clostridiales [meta_mOTU_v2_5347],-0.1623547708899183,-0.30635470825151856,-0.2565198236565563,-0.2636277989076824,-0.35034445012949905
unknown Clostridiales [meta_mOTU_v2_5890],-0.07391608268325464,-0.3120518096327268,-0.2587215892747282,-0.25680115008373905,-0.33209457211017457
unknown Bacteroidales [meta_mOTU_v2_7353],-0.09862578216770958,-0.32379871470898297,-0.2616554593051571,-0.27444475435609494,-0.3499384252720408
unknown Massiliomicrobiota [meta_mOTU_v2_7010],-0.21063296062113931,-0.3385171595310779,-0.26473140110638516,-0.29531993355952635,-0.4048101040048936
unknown Clostridiales [meta_mOTU_v2_7200],-0.3073026417019379,-0.3291359405788056,-0.25276955927460815,-0.2938441532528242,-0.46299134870491604
