,AUS,CHN,DEU,FRA,USA
Clostridium sp. CAG:762 [meta_mOTU_v2_6739],-0.5554222988400912,,,-0.046300511518696595,-0.2900544141353474
Clostridium sp. CAG:628 [meta_mOTU_v2_6559],-0.7371078153308963,,,-0.12976665364701467,-0.3447464623584928
Eubacterium sp. CAG:581 [meta_mOTU_v2_7088],-0.7531290718924095,-0.34709807417401767,0.21951618904830353,0.20310034739587188,0.6266221491995149
unknown Clostridium [meta_mOTU_v2_6098],-0.7033676720264854,,0.8858463788469847,-0.34537420058492496,0.20909614350086672
unknown Prevotella [meta_mOTU_v2_6387],-0.6269924046062808,-0.3092361252534071,0.557232934583307,-0.3872880762166302,
unknown Prevotella [meta_mOTU_v2_5668],-0.5447501418485517,-0.24294541128213995,-0.021977698583664867,-0.2974311261375307,-0.42060072319927416
unknown Bacteroidales [meta_mOTU_v2_5773],-0.4502927342432502,,0.40654405358039797,-0.37258364273087047,-0.41195377836143593
unknown Prevotella [meta_mOTU_v2_7015],-0.35015633696593157,,-0.14430715672925712,-0.3900113267363977,
unknown Roseburia [meta_mOTU_v2_6176],-0.24376203827868453,-0.11962439406376396,,-0.3685523571288512,-0.3167242205712921
Phascolarctobacterium succinatutens [ref_mOTU_v2_0947],-0.1846082154300399,-0.3652084161033556,-0.6438690260675233,-0.36633304495489616,-0.48279756878331836
unknown Bacteroidales [meta_mOTU_v2_6217],-0.13972223307335588,,-0.7048802903772485,-0.10231871977737386,-0.38194655654335347
unknown Dehalococcoidales [meta_mOTU_v2_6336],-0.11214326144988931,,-0.6015046053073781,-0.3058568238542018,-0.4644426881323089
Clostridium sp. CAG:433 [meta_mOTU_v2_7638],-0.06563961848597889,-0.31392281735843025,0.31197157466144676,0.04766937971000446,0.3186056675209437
unknown Clostridiales [meta_mOTU_v2_5540],-0.06057735625398395,-0.2943780225303848,-0.5653288835997713,0.30341649644730495,-0.42169163575855084
unknown Clostridiales [meta_mOTU_v2_6416],-0.07562098718875403,-0.34632810843540424,-0.26583475280609603,-0.4761144248012248,-0.19230427935076552
unknown Clostridiales [meta_mOTU_v2_7541],-0.1121680160799482,-0.16774959007958573,-0.01314560071802096,0.03668229348292067,0.2945099918486403
Ruminococcus callidus [ref_mOTU_v2_4209],-0.13142474220868774,-0.22507656093679673,-0.5424518882666672,0.10594353081007934,-0.18251391843815531
unknown Clostridiales [meta_mOTU_v2_5442],-0.18136108632156378,-0.29658411265104545,-0.2883770875855949,0.47177650766352247,-0.3581884116330737
unknown Clostridiales [meta_mOTU_v2_6503],-0.21470501137577977,-0.4263979638908501,-0.6843491765859393,-0.12441046592838344,-0.4566109638301168
unknown Clostridiales [meta_mOTU_v2_5783],-0.23527758055204634,-0.3430175425472883,-0.5405598727110836,0.23925022866905918,-0.3801400732582762
Clostridium sp. CAG:448 [meta_mOTU_v2_7377],-0.23428897057414955,-0.42566885249383574,-0.5460616065887733,-0.16208304092636963,-0.3717739959860338
unknown Firmicutes [meta_mOTU_v2_7361],-0.26886907168028684,-0.3945639535460827,-0.521317527394538,-0.10552546806193365,-0.3721590111048994
unknown Clostridiales [meta_mOTU_v2_7440],-0.32809514486701175,-0.25368234595316885,-0.5874777708886739,0.4102779356819536,-0.4759387343268453
unknown Clostridiales [meta_mOTU_v2_6585],-0.43982819581996646,-0.35030677422092565,-0.6647058429690101,0.1638411706367861,-0.421203429193086
