,0
ACC,0.9746835443037974
BLCA,0.9414519906323185
BRCA,0.9942244224422442
CESC,0.9352750809061489
CHOL,0.5777777777777777
COAD,0.8902439024390244
DLBC,0.9791666666666666
ESCA,0.8214285714285714
GBM,0.9532163742690059
HNSC,0.9876325088339223
KICH,0.8021978021978022
KIRC,0.9504950495049505
KIRP,0.9071207430340558
LAML,1.0
LGG,0.9924528301886792
LIHC,0.9763593380614657
LUAD,0.9270833333333334
LUSC,0.9184782608695652
MESO,0.9195402298850575
OV,1.0
PAAD,0.9672131147540983
PCPG,0.9893048128342246
PRAD,1.0
READ,0.41904761904761906
SARC,0.9547169811320755
SKCM,0.9830866807610994
STAD,0.9444444444444444
TGCT,0.9871794871794872
THCA,1.0
THYM,0.9754098360655737
UCEC,0.9402985074626866
UCS,0.7719298245614035
UVM,0.9875
