,0
0,ABCA4|24
1,ACOT11|26027
2,ACOT7|11332
3,ACTA1|58
4,ACTL8|81569
5,ACTN2|88
6,ADAMTS4|9507
7,ADAMTSL4|54507
8,ADCY10|55811
9,ADC|113451
10,ADORA1|134
11,ADORA3|140
12,AFARP1|246182
13,AGBL4|84871
14,AGMAT|79814
15,AGRN|375790
16,AGT|183
17,AIM1L|55057
18,AIM2|9447
19,AJAP1|55966
20,AK3L1|205
21,AK5|26289
22,AKNAD1|254268
23,AKR7A3|22977
24,AKR7L|246181
25,AKT3|10000
26,ALDH4A1|8659
27,ALPL|249
28,ALX3|257
29,AMIGO1|57463
30,AMPD1|270
31,AMY1A|276
32,AMY2A|279
33,AMY2B|280
34,ANGPTL1|9068
35,ANGPTL3|27329
36,ANGPTL7|10218
37,ANKRD34A|284615
38,ANKRD35|148741
39,ANKRD36BP1|84832
40,ANKRD45|339416
41,ANXA9|8416
42,APCS|325
43,APOA2|336
44,APOBEC4|403314
45,AQP10|89872
46,ARHGAP29|9411
47,ARHGAP30|257106
48,ARHGEF10L|55160
49,ARHGEF16|27237
50,ARHGEF19|128272
51,ARTN|9048
52,ASAP3|55616
53,ASPM|259266
54,ASTN1|460
55,ATAD3B|83858
56,ATAD3C|219293
57,ATF3|467
58,ATP1A2|477
59,ATP1A4|480
60,ATP1B1|481
61,ATP6V1G3|127124
62,ATP8B2|57198
63,AURKAPS1|6791
64,AVPR1B|553
65,B3GALT2|8707
66,BAI2|576
67,BATF3|55509
68,BCAN|63827
69,BCAR3|8412
70,BCL2L15|440603
71,BEND5|79656
72,BEST4|266675
73,BMP8A|353500
74,BMP8B|656
75,BNIPL|149428
76,BRDT|676
77,BSND|7809
78,BTBD19|149478
79,BTBD8|284697
80,BTG2|7832
81,C1QA|712
82,C1QB|713
83,C1QC|714
84,C1orf101|257044
85,C1orf104|284618
86,C1orf105|92346
87,C1orf106|55765
88,C1orf110|339512
89,C1orf111|284680
90,C1orf112|55732
91,C1orf113|79729
92,C1orf114|57821
93,C1orf115|79762
94,C1orf116|79098
95,C1orf125|126859
96,C1orf126|200197
97,C1orf127|148345
98,C1orf130|400746
99,C1orf133|574036
100,C1orf135|79000
101,C1orf150|148823
102,C1orf152|767846
103,C1orf158|93190
104,C1orf161|126868
105,C1orf162|128346
106,C1orf168|199920
107,C1orf170|84808
108,C1orf172|126695
109,C1orf173|127254
110,C1orf175|374977
111,C1orf177|163747
112,C1orf180|439927
113,C1orf182|128229
114,C1orf183|55924
115,C1orf186|440712
116,C1orf187|374946
117,C1orf190|541468
118,C1orf192|257177
119,C1orf194|127003
120,C1orf200|644997
121,C1orf204|284677
122,C1orf210|149466
123,C1orf213|148898
124,C1orf21|81563
125,C1orf220|400798
126,C1orf226|400793
127,C1orf228|339541
128,C1orf229|388759
129,C1orf230|284485
130,C1orf38|9473
131,C1orf51|148523
132,C1orf53|388722
133,C1orf54|79630
134,C1orf58|148362
135,C1orf59|113802
136,C1orf61|10485
137,C1orf64|149563
138,C1orf65|164127
139,C1orf68|100129271
140,C1orf70|339453
141,C1orf87|127795
142,C1orf88|128344
143,C1orf92|149499
144,C1orf94|84970
145,C1orf95|375057
146,C2CD4D|100191040
147,C4BPA|722
148,C4BPB|725
149,C8A|731
150,C8B|732
151,CA14|23632
152,CA6|765
153,CACHD1|57685
154,CACNA1E|777
155,CACNA1S|779
156,CADM3|57863
157,CALML6|163688
158,CAMK1G|57172
159,CAMK2N1|55450
160,CAPN8|388743
161,CAPN9|10753
162,CASQ1|844
163,CASQ2|845
164,CASZ1|54897
165,CCDC163P|126661
166,CCDC17|149483
167,CCDC18|343099
168,CCDC19|25790
169,CCDC24|149473
170,CCDC28B|79140
171,CCDC30|728621
172,CD101|9398
173,CD160|11126
174,CD164L2|388611
175,CD1A|909
176,CD1B|910
177,CD1C|911
178,CD1D|912
179,CD1E|913
180,CD244|51744
181,CD247|919
182,CD2|914
183,CD34|947
184,CD48|962
185,CD52|1043
186,CD53|963
187,CD55|1604
188,CD5L|922
189,CD84|8832
190,CDA|978
191,CDC14A|8556
192,CDC20|991
193,CDC42BPA|8476
194,CDC7|8317
195,CDCA8|55143
196,CDK18|5129
197,CDKN2C|1031
198,CELA2A|63036
199,CELA3A|10136
200,CELA3B|23436
201,CELF3|11189
202,CELSR2|1952
203,CENPF|1063
204,CFHR1|3078
205,CFHR2|3080
206,CFHR3|10878
207,CFHR4|10877
208,CFHR5|81494
209,CFH|3075
210,CGN|57530
211,CHD5|26038
212,CHI3L1|1116
213,CHI3L2|1117
214,CHIA|27159
215,CHIT1|1118
216,CHML|1122
217,CHRM3|1131
218,CHRNB2|1141
219,CITED4|163732
220,CKS1B|1163
221,CLCA1|1179
222,CLCA2|9635
223,CLCA3P|9629
224,CLCA4|22802
225,CLCNKA|1187
226,CLCNKB|1188
227,CLDN19|149461
228,CLIC4|25932
229,CLSPN|63967
230,CNIH3|149111
231,CNKSR1|10256
232,CNN3|1266
233,CNR2|1269
234,CNTN2|6900
235,COL11A1|1301
236,COL16A1|1307
237,COL24A1|255631
238,COL8A2|1296
239,COL9A2|1298
240,CORT|1325
241,CR1L|1379
242,CR1|1378
243,CR2|1380
244,CRABP2|1382
245,CRB1|23418
246,CRCT1|54544
247,CREB3L4|148327
248,CRNN|49860
249,CROCCL2|114819
250,CRP|1401
251,CRYZ|1429
252,CSF1|1435
253,CSF3R|1441
254,CSMD2|114784
255,CSRP1|1465
256,CTH|1491
257,CTRC|11330
258,CTSE|1510
259,CTSK|1513
260,CTSS|1520
261,CYP2J2|1573
262,CYP4A11|1579
263,CYP4A22|284541
264,CYP4B1|1580
265,CYP4X1|260293
266,CYP4Z1|199974
267,CYP4Z2P|163720
268,CYR61|3491
269,DAB1|1600
270,DARC|2532
271,DCDC2B|149069
272,DCST2|127579
273,DDAH1|23576
274,DDI2|84301
275,DDR2|4921
276,DENND1B|163486
277,DENND2C|163259
278,DENND2D|79961
279,DEPDC1|55635
280,DHCR24|1718
281,DHRS3|9249
282,DIO1|1733
283,DIRAS3|9077
284,DISC1|27185
285,DISP1|84976
286,DLGAP3|58512
287,DMBX1|127343
288,DMRTA2|63950
289,DNAH14|127602
290,DNAJC6|9829
291,DNALI1|7802
292,DNASE2B|58511
293,DNM3|26052
294,DPT|1805
295,DPYD|1806
296,DTL|51514
297,DUSP10|11221
298,DUSP23|54935
299,DUSP27|92235
300,DUSP5P|574029
301,E2F2|1870
302,ECE1|1889
303,ECHDC2|55268
304,ECM1|1893
305,EDARADD|128178
306,EDN2|1907
307,EFCAB2|84288
308,EFHD2|79180
309,EFNA1|1942
310,EFNA3|1944
311,EFNA4|1945
312,ELAVL4|1996
313,ELF3|1999
314,ELTD1|64123
315,ENAH|55740
316,EPHA10|284656
317,EPHA2|1969
318,EPHA8|2046
319,EPHB2|2048
320,EPHX1|2052
321,EPHX4|253152
322,EPS8L3|79574
323,ERO1LB|56605
324,ERRFI1|54206
325,ESPNP|284729
326,ESPN|83715
327,ESRRG|2104
328,ETNK2|55224
329,ETV3L|440695
330,ETV3|2117
331,EXO1|9156
332,EXTL1|2134
333,EYA3|2140
334,F11R|50848
335,F13B|2165
336,F3|2152
337,F5|2153
338,FAAH|2166
339,FABP3|2170
340,FAIM3|9214
341,FAM102B|284611
342,FAM129A|116496
343,FAM131C|348487
344,FAM132A|388581
345,FAM151A|338094
346,FAM159A|348378
347,FAM163A|148753
348,FAM167B|84734
349,FAM176B|55194
350,FAM177B|400823
351,FAM183A|440585
352,FAM19A3|284467
353,FAM43B|163933
354,FAM46B|115572
355,FAM46C|54855
356,FAM5B|57795
357,FAM5C|339479
358,FAM69A|388650
359,FAM72A|729533
360,FAM72B|653820
361,FAM72D|728833
362,FAM78B|149297
363,FAM89A|375061
364,FASLG|356
365,FBLIM1|54751
366,FBXO2|26232
367,FCAMR|83953
368,FCER1A|2205
369,FCER1G|2207
370,FCGR1A|2209
371,FCGR1B|2210
372,FCGR1C|100132417
373,FCGR2A|2212
374,FCGR2B|2213
375,FCGR2C|9103
376,FCGR3A|2214
377,FCGR3B|2215
378,FCN3|8547
379,FCRL1|115350
380,FCRL2|79368
381,FCRL3|115352
382,FCRL4|83417
383,FCRL5|83416
384,FCRL6|343413
385,FCRLA|84824
386,FCRLB|127943
387,FGGY|55277
388,FGR|2268
389,FHAD1|114827
390,FLG2|388698
391,FLG|2312
392,FLJ23867|200058
393,FLJ39739|388685
394,FLJ42875|440556
395,FLVCR1|28982
396,FMN2|56776
397,FMO1|2326
398,FMO2|2327
399,FMO3|2328
400,FMO4|2329
401,FMO5|2330
402,FMO6P|388714
403,FMO9P|116123
404,FMOD|2331
405,FNBP1L|54874
406,FNDC5|252995
407,FOXD2|2306
408,FOXD3|27022
409,FOXE3|2301
410,FRRS1|391059
411,FUCA1|2517
412,G0S2|50486
413,GABRD|2563
414,GADD45A|1647
415,GALE|2582
416,GBAP1|2630
417,GBP1|2633
418,GBP2|2634
419,GBP3|2635
420,GBP4|115361
421,GBP5|115362
422,GBP6|163351
423,GBP7|388646
424,GCLM|2730
425,GFI1|2672
426,GIPC2|54810
427,GJA4|2701
428,GJA5|2702
429,GJA9|81025
430,GJB3|2707
431,GJB4|127534
432,GJB5|2709
433,GJC2|57165
434,GLIS1|148979
435,GLT25D2|23127
436,GLUL|2752
437,GNG12|55970
438,GNG4|2786
439,GOLT1A|127845
440,GPA33|10223
441,GPR137B|7107
442,GPR153|387509
443,GPR157|80045
444,GPR161|23432
445,GPR25|2848
446,GPR37L1|9283
447,GPR3|2827
448,GPR61|83873
449,GPR88|54112
450,GPR89B|51463
451,GPSM2|29899
452,GPX7|2882
453,GREM2|64388
454,GRHL3|57822
455,GRIK3|2899
456,GRRP1|79927
457,GSTM1|2944
458,GSTM2|2946
459,GSTM3|2947
460,GSTM4|2948
461,GSTM5|2949
462,GUCA2A|2980
463,GUCA2B|2981
464,HAO2|51179
465,HAPLN2|60484
466,HES2|54626
467,HES4|57801
468,HES5|388585
469,HEYL|26508
470,HFE2|148738
471,HFM1|164045
472,HHAT|55733
473,HHIPL2|79802
474,HIST2H2AA3|8337
475,HIST2H2AC|8338
476,HIST2H2BA|337875
477,HIST2H2BE|8349
478,HIST2H2BF|440689
479,HIST2H3C|126961
480,HIST2H4A|8370
481,HIST3H2A|92815
482,HIST3H2BB|128312
483,HIVEP3|59269
484,HLX|3142
485,HMCN1|83872
486,HMGCS2|3158
487,HOOK1|51361
488,HORMAD1|84072
489,HPCAL4|51440
490,HPCA|3208
491,HPDL|84842
492,HRNR|388697
493,HSD11B1|3290
494,HSD3B1|3283
495,HSD3B2|3284
496,HSP90B3P|343477
497,HSPA6|3310
498,HSPA7|3311
499,HSPB7|27129
500,HSPG2|3339
501,HTR1D|3352
502,HTR6|3362
503,ID3|3399
504,IFFO2|126917
505,IFI16|3428
506,IFI44L|10964
507,IFI44|10561
508,IFI6|2537
509,IGFN1|91156
510,IGSF21|84966
511,IGSF3|3321
512,IGSF9|57549
513,IKBKE|9641
514,IL10|3586
515,IL12RB2|3595
516,IL19|29949
517,IL20|50604
518,IL22RA1|58985
519,IL23R|149233
520,IL24|11009
521,IL28RA|163702
