,0
ACC,0.9367088607594937
BLCA,0.9648711943793911
BRCA,0.9942244224422442
CESC,0.9255663430420712
CHOL,0.7111111111111111
COAD,0.8689024390243902
DLBC,0.9583333333333334
ESCA,0.8469387755102041
GBM,0.9766081871345029
HNSC,0.9946996466431095
KICH,0.9230769230769231
KIRC,0.9620462046204621
KIRP,0.9195046439628483
LAML,1.0
LGG,0.9981132075471698
LIHC,0.983451536643026
LUAD,0.9409722222222222
LUSC,0.9329710144927537
MESO,0.9655172413793104
OV,0.993485342019544
PAAD,0.9781420765027322
PCPG,0.9946524064171123
PRAD,1.0
READ,0.5428571428571428
SARC,0.9849056603773585
SKCM,0.985200845665962
STAD,0.96
TGCT,0.9871794871794872
THCA,1.0
THYM,0.9918032786885246
UCEC,0.945273631840796
UCS,0.7543859649122807
UVM,0.975
