,gene_set,group,label_type,normalization,num_classes,num_features,num_genes,num_samples,score,score_units,supervised_model,task,unsupervised_model
0,O,train,binary,z-score,2,17970,17970,416,0.6167828106852496,AUC,logistic regression,STAD stage,no embedding
1,O,validate,binary,z-score,2,17970,17970,504,0.6618503401360544,AUC,logistic regression,LUSC stage,no embedding
2,O,test,binary,z-score,2,17970,17970,1134,0.6392610674563894,AUC,logistic regression,BRCA stage,no embedding
3,O,train,binary,z-score,2,17970,17970,249,0.6193772401433691,AUC,logistic regression,SKCM stage,no embedding
4,O,train,binary,z-score,2,17970,17970,374,0.6338873626373627,AUC,logistic regression,LIHC stage,no embedding
5,O,train,binary,z-score,2,17970,17970,513,0.7192541133131429,AUC,logistic regression,THCA stage,no embedding
6,O,train,binary,z-score,2,17970,17970,542,0.628803735312098,AUC,logistic regression,LUAD stage,no embedding
7,O,train,binary,z-score,2,17970,17970,505,0.7232430428420508,AUC,logistic regression,COAD stage,no embedding
8,O,train,binary,z-score,2,17970,17970,554,0.6516827964755164,AUC,logistic regression,UCEC stage,no embedding
9,O,train,binary,z-score,2,17970,17970,544,0.7743826216325628,AUC,logistic regression,KIRC stage,no embedding
10,O,train,binary,z-score,2,17970,17970,416,0.5372836126320447,AUC,random forest,STAD stage,no embedding
11,O,validate,binary,z-score,2,17970,17970,504,0.6254685874349739,AUC,random forest,LUSC stage,no embedding
12,O,test,binary,z-score,2,17970,17970,1134,0.6039367631144079,AUC,random forest,BRCA stage,no embedding
13,O,train,binary,z-score,2,17970,17970,249,0.6632981984531221,AUC,random forest,SKCM stage,no embedding
14,O,train,binary,z-score,2,17970,17970,374,0.6414575702075702,AUC,random forest,LIHC stage,no embedding
15,O,train,binary,z-score,2,17970,17970,513,0.6435129052063593,AUC,random forest,THCA stage,no embedding
16,O,train,binary,z-score,2,17970,17970,542,0.6492222397245629,AUC,random forest,LUAD stage,no embedding
17,O,train,binary,z-score,2,17970,17970,505,0.6893193435566317,AUC,random forest,COAD stage,no embedding
18,O,train,binary,z-score,2,17970,17970,554,0.6778203799214326,AUC,random forest,UCEC stage,no embedding
19,O,train,binary,z-score,2,17970,17970,544,0.7377486542487398,AUC,random forest,KIRC stage,no embedding
20,O,train,binary,z-score,2,17970,17970,416,0.5625642940102871,AUC,k nearest neighbor,STAD stage,no embedding
21,O,validate,binary,z-score,2,17970,17970,504,0.5571156462585034,AUC,k nearest neighbor,LUSC stage,no embedding
22,O,test,binary,z-score,2,17970,17970,1134,0.5729901062875924,AUC,k nearest neighbor,BRCA stage,no embedding
23,O,train,binary,z-score,2,17970,17970,249,0.5502340360309375,AUC,k nearest neighbor,SKCM stage,no embedding
24,O,train,binary,z-score,2,17970,17970,374,0.5611706349206349,AUC,k nearest neighbor,LIHC stage,no embedding
25,O,train,binary,z-score,2,17970,17970,513,0.5286625607329875,AUC,k nearest neighbor,THCA stage,no embedding
26,O,train,binary,z-score,2,17970,17970,542,0.5902689133109054,AUC,k nearest neighbor,LUAD stage,no embedding
27,O,train,binary,z-score,2,17970,17970,505,0.5804588344914926,AUC,k nearest neighbor,COAD stage,no embedding
