unsupervised_model,supervised_model,gene_set,normalization,task,group,label_type,num_genes,num_features,num_samples,num_classes,score,score_units
no embedding,logistic regression,all,tpm,GSE72819 remission,validate,binary,57992,57992,69,2,0.47803030303030297,AUC
no embedding,logistic regression,all,tpm,STAD stage,train,binary,57992,57992,416,2,0.5063021956750179,AUC
no embedding,logistic regression,all,tpm,KIRC grade,train,binary,57992,57992,544,2,0.563328035983232,AUC
no embedding,logistic regression,all,tpm,LUSC stage,validate,binary,57992,57992,504,2,0.5868667466986796,AUC
no embedding,logistic regression,all,tpm,PAAD grade,train,binary,57992,57992,179,2,0.619002849002849,AUC
no embedding,logistic regression,all,tpm,BRCA stage,test,binary,57992,57992,1134,2,0.5684288373722437,AUC
no embedding,logistic regression,all,tpm,SKCM stage,train,binary,57992,57992,249,2,0.5836139407658932,AUC
no embedding,logistic regression,all,tpm,LIHC stage,train,binary,57992,57992,374,2,0.5296245421245421,AUC
no embedding,logistic regression,all,tpm,THCA stage,train,binary,57992,57992,513,2,0.6074943768485557,AUC
no embedding,logistic regression,all,tpm,LUAD stage,train,binary,57992,57992,542,2,0.5824775509036834,AUC
no embedding,logistic regression,all,tpm,CESC grade,train,binary,57992,57992,306,2,0.6243964788587214,AUC
no embedding,logistic regression,all,tpm,LIHC grade,train,binary,57992,57992,374,2,0.52525,AUC
no embedding,logistic regression,all,tpm,COAD stage,train,binary,57992,57992,505,2,0.6716519354055526,AUC
no embedding,logistic regression,all,tpm,UCEC stage,train,binary,57992,57992,554,2,0.5985821982989353,AUC
no embedding,logistic regression,all,tpm,HNSC grade,test,binary,57992,57992,504,2,0.6050689346884999,AUC
no embedding,logistic regression,all,tpm,STAD grade,train,binary,57992,57992,416,2,0.6400828331332532,AUC
no embedding,logistic regression,all,tpm,GSE65832 lesional,train,binary,57992,57992,40,2,0.6,AUC
no embedding,logistic regression,all,tpm,LGG grade,train,binary,57992,57992,532,2,0.6660982099661344,AUC
no embedding,logistic regression,all,tpm,KIRC stage,train,binary,57992,57992,544,2,0.6556770360128035,AUC
no embedding,logistic regression,all,tpm,UCEC grade,train,binary,57992,57992,554,2,0.7929415760869565,AUC
no embedding,logistic regression,all,tpm,GSE67785 lesional,test,binary,57992,57992,28,2,0.9666666666666666,AUC
no embedding,logistic regression,all,tpm,GSE66207 disease type,train,multiclass,57992,57992,20,3,0.5666666666666667,class accuracy
no embedding,logistic regression,all,tpm,GSE50244 diabetic,validate,multiclass,57992,57992,76,3,0.5516666666666666,class accuracy
no embedding,logistic regression,all,tpm,GSE47944 lesional,validate,multiclass,57992,57992,63,3,0.923076923076923,class accuracy
