# git tag version 2.1.1 |  motus version 2.1.1 | map_tax 2.1.1 | gene database: nr2.1.1 | calc_mgc 2.1.1 -y insert.scaled_counts -l 75 | calc_motu 2.1.1 -k mOTU -C no_CAMI -g 3 | taxonomy: ref_mOTU_2.1.1 meta_mOTU_2.1.1
# call: python /home/antonycp/tools/mOTUs_v2/motus profile -q -s /home/antonycp/Desktop/checkm_bincoverage_test/Humanclean_3831_DNAtissue_R1.fastq.gz,/home/antonycp/Desktop/checkm_bincoverage_test/Humanclean_3831_DNAtissue_R2.fastq.gz
#mOTU	consensus_taxonomy	unnamed sample
ref_mOTU_v2_0001	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Kandleria|s__Kandleria vitulina	0.0000000000
ref_mOTU_v2_0002	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Methyloversatilis|s__Methyloversatilis universalis	0.0000000000
ref_mOTU_v2_0003	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera genomosp. type_1 [C]	0.0000000000
ref_mOTU_v2_0004	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus anginosus	0.0000000000
ref_mOTU_v2_0005	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus anginosus	0.0000000000
ref_mOTU_v2_0006	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus dysgalactiae	0.0000000000
ref_mOTU_v2_0007	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus epidermidis	0.0000000000
ref_mOTU_v2_0008	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma|s__Anaplasma marginale	0.0000000000
ref_mOTU_v2_0009	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio sp. [C albensis/cholerae]	0.0000000000
ref_mOTU_v2_0010	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium leiognathi	0.0000000000
ref_mOTU_v2_0011	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Francisellaceae|g__Francisella|s__Francisella tularensis	0.0000000000
