,train_country,test_country,accuracy,prc_auc,roc_auc,sensitivity,specificity,precision,recall
0,AUS,AUS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,AUS,CHI,0.703125,0.813107552632364,0.7462462462462461,0.5675675675675675,0.8888888888888888,0.875,0.5675675675675675
2,AUS,FRA,0.7105263157894737,0.783997710750482,0.7537890504175688,0.6037735849056604,0.8032786885245902,0.7272727272727273,0.6037735849056604
3,AUS,GER,0.8333333333333334,0.914125862382067,0.8875000000000001,0.7166666666666667,0.95,0.9347826086956522,0.7166666666666667
4,AUS,USA,0.7211538461538461,0.8119035207896401,0.7810650887573964,0.5576923076923077,0.8846153846153846,0.8285714285714286,0.5576923076923077
5,CHI,AUS,0.7247706422018348,0.7972029384760595,0.8205659075224292,0.717391304347826,0.7301587301587301,0.66,0.717391304347826
6,CHI,CHI,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,CHI,FRA,0.6929824561403509,0.7950180534217411,0.7939993813795237,0.7547169811320755,0.639344262295082,0.6451612903225806,0.7547169811320755
8,CHI,GER,0.8,0.9032541998705946,0.8958333333333334,0.6833333333333333,0.9166666666666666,0.8913043478260869,0.6833333333333333
9,CHI,USA,0.6346153846153846,0.7613567564320133,0.7629437869822486,0.5576923076923077,0.7115384615384616,0.6590909090909091,0.5576923076923077
10,FRA,AUS,0.8348623853211009,0.8880840509755502,0.8799171842650103,0.6304347826086957,0.9841269841269841,0.9666666666666667,0.6304347826086957
11,FRA,CHI,0.765625,0.8758223274531063,0.8642392392392393,0.6756756756756757,0.8888888888888888,0.8928571428571429,0.6756756756756757
12,FRA,FRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,FRA,GER,0.8416666666666667,0.928808289970456,0.9238888888888889,0.7333333333333333,0.95,0.9361702127659575,0.7333333333333333
14,FRA,USA,0.6730769230769231,0.7975589642462435,0.7681213017751479,0.46153846153846156,0.8846153846153846,0.8,0.46153846153846156
15,GER,AUS,0.6972477064220184,0.8652093275625332,0.8564527260179434,0.782608695652174,0.6349206349206349,0.6101694915254238,0.782608695652174
16,GER,CHI,0.78125,0.8788318173775946,0.8573573573573574,0.918918918918919,0.5925925925925926,0.7555555555555555,0.918918918918919
17,GER,FRA,0.6842105263157895,0.8159066314158966,0.8110114444788122,0.8490566037735849,0.5409836065573771,0.6164383561643836,0.8490566037735849
18,GER,GER,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
19,GER,USA,0.7307692307692307,0.7950401486450666,0.7799556213017751,0.8076923076923077,0.6538461538461539,0.7,0.8076923076923077
20,USA,AUS,0.7889908256880734,0.8444647246063574,0.8557625948930297,0.7608695652173914,0.8095238095238095,0.7446808510638298,0.7608695652173914
21,USA,CHI,0.71875,0.8109502333214298,0.7642642642642644,0.7162162162162162,0.7222222222222222,0.7794117647058824,0.7162162162162162
22,USA,FRA,0.631578947368421,0.6805838308782186,0.6922363130219611,0.6226415094339622,0.639344262295082,0.6,0.6226415094339622
23,USA,GER,0.7333333333333333,0.8197526845708223,0.8113888888888889,0.65,0.8166666666666667,0.78,0.65
24,USA,USA,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
