,ROC-AUC,fold,seed
0,0.9230769230769231,0,8
1,0.6153846153846154,1,8
2,1.0,2,8
3,0.9807692307692308,3,8
4,0.7307692307692307,4,8
5,0.75,5,8
6,0.46153846153846156,6,8
7,0.9375,7,8
8,0.7291666666666667,8,8
9,0.8125,9,8
10,0.5769230769230769,0,16
11,1.0,1,16
12,0.9807692307692308,2,16
13,0.923076923076923,3,16
14,0.4807692307692308,4,16
15,0.6923076923076923,5,16
16,0.8461538461538461,6,16
17,0.4791666666666667,7,16
18,0.9791666666666666,8,16
19,0.9166666666666666,9,16
20,0.5769230769230769,0,32
21,0.8076923076923077,1,32
22,0.5384615384615384,2,32
23,0.9615384615384616,3,32
24,0.8846153846153846,4,32
25,0.7692307692307692,5,32
26,0.6923076923076923,6,32
27,0.7500000000000001,7,32
28,1.0,8,32
29,0.8958333333333333,9,32
30,0.7884615384615385,0,64
31,0.6923076923076923,1,64
32,0.6153846153846154,2,64
33,0.5192307692307692,3,64
34,0.673076923076923,4,64
35,0.8076923076923077,5,64
36,1.0,6,64
37,0.7708333333333334,7,64
38,0.9375,8,64
39,1.0,9,64
40,0.75,0,128
41,1.0,1,128
42,0.4230769230769231,2,128
43,0.8269230769230769,3,128
44,0.9423076923076923,4,128
45,0.5769230769230769,5,128
46,0.75,6,128
47,1.0,7,128
48,0.7916666666666666,8,128
49,0.6458333333333333,9,128
