,ROC-AUC,fold,seed
0,0.6923076923076923,0,8
1,0.8974358974358974,1,8
2,0.7179487179487178,2,8
3,0.7692307692307693,3,8
4,1.0,4,8
5,0.7692307692307692,5,8
6,1.0,6,8
7,0.8333333333333333,7,8
8,0.6944444444444444,8,8
9,1.0,9,8
10,0.9487179487179487,0,16
11,0.6153846153846154,1,16
12,0.9743589743589745,2,16
13,0.9743589743589745,3,16
14,1.0,4,16
15,1.0,5,16
16,0.7692307692307693,6,16
17,0.6388888888888888,7,16
18,0.611111111111111,8,16
19,0.9444444444444444,9,16
20,0.7692307692307692,0,32
21,1.0,1,32
22,0.8461538461538461,2,32
23,0.8717948717948718,3,32
24,0.6538461538461539,4,32
25,1.0,5,32
26,0.46153846153846156,6,32
27,0.861111111111111,7,32
28,0.7777777777777777,8,32
29,0.9722222222222222,9,32
30,0.7692307692307692,0,64
31,0.8717948717948718,1,64
32,0.9743589743589745,2,64
33,0.6923076923076923,3,64
34,0.5384615384615384,4,64
35,0.9230769230769231,5,64
36,0.9615384615384616,6,64
37,0.8333333333333333,7,64
38,0.8611111111111112,8,64
39,0.9722222222222222,9,64
40,0.923076923076923,0,128
41,0.8974358974358974,1,128
42,0.9487179487179488,2,128
43,0.7948717948717948,3,128
44,1.0,4,128
45,0.6538461538461539,5,128
46,0.8846153846153846,6,128
47,0.8888888888888888,7,128
48,0.2777777777777778,8,128
49,0.888888888888889,9,128
