,ROC-AUC,fold,seed
0,0.967032967032967,0,8
1,0.8021978021978022,1,8
2,0.9780219780219781,2,8
3,0.9010989010989012,3,8
4,0.8131868131868132,4,8
5,0.7582417582417582,5,8
6,0.9102564102564102,6,8
7,0.8452380952380952,7,8
8,0.7619047619047619,8,8
9,0.8809523809523809,9,8
10,0.9120879120879121,0,16
11,0.9340659340659341,1,16
12,0.8461538461538461,2,16
13,0.8241758241758242,3,16
14,1.0,4,16
15,0.6923076923076923,5,16
16,0.717948717948718,6,16
17,0.9166666666666667,7,16
18,0.9047619047619049,8,16
19,0.8333333333333334,9,16
20,0.6593406593406593,0,32
21,0.9780219780219781,1,32
22,0.956043956043956,2,32
23,0.9120879120879121,3,32
24,0.8021978021978021,4,32
25,0.7802197802197802,5,32
26,0.9615384615384615,6,32
27,0.6904761904761905,7,32
28,0.8095238095238095,8,32
29,0.988095238095238,9,32
30,0.9120879120879121,0,64
31,0.7032967032967032,1,64
32,0.8901098901098901,2,64
33,0.9780219780219781,3,64
34,0.8131868131868132,4,64
35,0.9230769230769231,5,64
36,0.9871794871794872,6,64
37,0.8571428571428571,7,64
38,0.7142857142857143,8,64
39,0.9404761904761905,9,64
40,0.989010989010989,0,128
41,0.8241758241758241,1,128
42,0.8791208791208791,2,128
43,0.7802197802197802,3,128
44,0.8571428571428572,4,128
45,0.8131868131868132,5,128
46,0.8717948717948718,6,128
47,0.8928571428571428,7,128
48,0.8928571428571429,8,128
49,0.7738095238095237,9,128
