,ROC-AUC,fold,seed
0,0.7435897435897436,0,8
1,0.9384615384615385,1,8
2,0.9538461538461538,2,8
3,0.9230769230769231,3,8
4,0.9846153846153847,4,8
5,1.0,5,8
6,0.9692307692307692,6,8
7,0.9583333333333334,7,8
8,0.763888888888889,8,8
9,0.9166666666666667,9,8
10,0.7692307692307693,0,16
11,0.9538461538461538,1,16
12,0.8769230769230769,2,16
13,0.8923076923076924,3,16
14,1.0,4,16
15,0.8307692307692308,5,16
16,0.8615384615384616,6,16
17,0.9722222222222223,7,16
18,0.9722222222222222,8,16
19,0.9166666666666667,9,16
20,0.8717948717948718,0,32
21,0.9538461538461538,1,32
22,0.7692307692307692,2,32
23,0.8923076923076922,3,32
24,0.8153846153846154,4,32
25,0.6615384615384615,5,32
26,0.8307692307692308,6,32
27,0.9583333333333333,7,32
28,0.9305555555555556,8,32
29,1.0,9,32
30,0.8461538461538461,0,64
31,0.9538461538461538,1,64
32,0.8307692307692308,2,64
33,0.8923076923076924,3,64
34,0.9538461538461538,4,64
35,1.0,5,64
36,0.8307692307692307,6,64
37,0.861111111111111,7,64
38,0.986111111111111,8,64
39,0.7638888888888888,9,64
40,0.8589743589743589,0,128
41,0.8307692307692308,1,128
42,0.9076923076923077,2,128
43,1.0,3,128
44,0.9846153846153847,4,128
45,0.9538461538461538,5,128
46,0.9846153846153847,6,128
47,0.7083333333333333,7,128
48,0.7361111111111112,8,128
49,0.9444444444444445,9,128
