,ROC-AUC,fold,seed
0,0.9230769230769231,0,8
1,0.8791208791208791,1,8
2,0.8571428571428571,2,8
3,0.901098901098901,3,8
4,0.9340659340659341,4,8
5,0.7472527472527472,5,8
6,0.9230769230769231,6,8
7,0.8690476190476191,7,8
8,0.7261904761904762,8,8
9,0.9047619047619047,9,8
10,0.8791208791208791,0,16
11,0.8901098901098901,1,16
12,0.8571428571428572,2,16
13,0.7912087912087912,3,16
14,0.9560439560439561,4,16
15,0.7582417582417582,5,16
16,0.7692307692307693,6,16
17,0.9523809523809523,7,16
18,0.8452380952380953,8,16
19,0.8333333333333334,9,16
20,0.8021978021978022,0,32
21,0.967032967032967,1,32
22,1.0,2,32
23,0.7582417582417582,3,32
24,0.7582417582417582,4,32
25,0.8021978021978022,5,32
26,1.0,6,32
27,0.6071428571428571,7,32
28,0.8333333333333334,8,32
29,0.9761904761904763,9,32
30,0.901098901098901,0,64
31,0.6483516483516483,1,64
32,0.8461538461538461,2,64
33,0.967032967032967,3,64
34,0.7472527472527472,4,64
35,0.945054945054945,5,64
36,1.0,6,64
37,0.9523809523809523,7,64
38,0.8333333333333334,8,64
39,0.8809523809523809,9,64
40,1.0,0,128
41,0.9560439560439561,1,128
42,0.7582417582417582,2,128
43,0.7362637362637362,3,128
44,0.8571428571428572,4,128
45,0.8681318681318682,5,128
46,0.9230769230769231,6,128
47,0.9285714285714286,7,128
48,0.8333333333333333,8,128
49,0.7619047619047619,9,128
