,ROC-AUC,fold,seed
0,0.9487179487179487,0,8
1,0.8205128205128205,1,8
2,0.7692307692307693,2,8
3,0.923076923076923,3,8
4,0.9615384615384616,4,8
5,0.6923076923076923,5,8
6,0.9230769230769231,6,8
7,0.7777777777777778,7,8
8,0.5555555555555556,8,8
9,0.9444444444444444,9,8
10,0.8461538461538461,0,16
11,0.717948717948718,1,16
12,1.0,2,16
13,0.8205128205128205,3,16
14,1.0,4,16
15,1.0,5,16
16,0.6538461538461539,6,16
17,0.6388888888888888,7,16
18,0.6388888888888888,8,16
19,0.9166666666666666,9,16
20,0.7692307692307692,0,32
21,1.0,1,32
22,0.7948717948717948,2,32
23,0.717948717948718,3,32
24,1.0,4,32
25,1.0,5,32
26,0.46153846153846156,6,32
27,0.7777777777777778,7,32
28,0.7777777777777777,8,32
29,0.9722222222222222,9,32
30,0.8461538461538461,0,64
31,0.8717948717948718,1,64
32,0.9230769230769231,2,64
33,0.7179487179487178,3,64
34,0.8076923076923077,4,64
35,0.7692307692307693,5,64
36,1.0,6,64
37,0.7777777777777778,7,64
38,0.9166666666666666,8,64
39,0.9166666666666666,9,64
40,0.9487179487179487,0,128
41,0.9230769230769231,1,128
42,0.9487179487179488,2,128
43,0.7692307692307692,3,128
44,1.0,4,128
45,0.6153846153846154,5,128
46,0.7692307692307692,6,128
47,0.8611111111111112,7,128
48,0.6388888888888888,8,128
49,0.9166666666666666,9,128
